Gericht,Aktenzeichen,Datum,Art,Rechtsgrundlage,Text,Schlagwort,Urteil,pagination,pagination-href
Verwaltungsgericht Halle,6 A 374/09 HAL,18.03.2010,Urteil,Informationszugangsgesetz (Sachsen-Anhalt),"Spezielle Rechtsgrundlagen gehen dem allgemeineren Informationszugangsgesetz vor, auch wenn sie enger sind und nur die Einsichtsrechte Betroffener regeln. Ein Mindeststandard würde die Rechtsgrundlagen vermischen und erhebliche Anwendungsprobleme hervorrufen. Die Frage, in welchem Umfang dem Prüfung ein Einsichtsrecht in Prüfervermerke (= ""Musterlösungen"") zusteht, ist abschließend in der Ausbildungs- und Prüfungsverordnung für Juristen geregelt. Die Prüfervermerke betreffen nicht das konkrete Prüfungsverfahren und sind üblicherweise nicht Bestandteil der Prüfungsakte. Ein genereller Anspruch auf Einsichtnahme in die Musterlösungen besteht deshalb nicht, es sei denn, die Prüfer stützen sich bei ihrer Bewertung der Klausur auf die Musterlösung.",Konkurrierende Rechtsvorschriften,http://www.lda.brandenburg.de/media_fast/5955/VG_Halle_6_A_374_09_HAL.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Verwaltungsgericht Magdeburg,3 B 58/10,19.03.2010,Beschluss,Informationszugangsgesetz (Sachsen-Anhalt),"Ein Anspruch auf einstweilige Anordnung besteht nicht, wenn sich der Antrag auf Unterlagen richtet, die der Antragsgegner bereits an eine andere Stelle zurückgereicht hat. Das Informationszugangsgesetz Sachsen-Anhalt sieht keine Verpflichtung vor, diese zurückzuholen.",,http://www.lda.brandenburg.de/media_fast/5955/VG_Magdeburg_3_B_58_10.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Verwaltungsgericht Magdeburg,3 B 76/10,24.03.2010,Beschluss,Informationszugangsgesetz (Sachsen-Anhalt),"Unterlagen im Zusammenhang mit dem Berufungsverfahren des Antragstellers an einer Hochschule fallen nicht unter den gesetzlichen Ausnahmetatbestand der ""wissenschaftlichen Tätigkeit"" und sind damit unter Berücksichtigung schützenswerter Belange Dritter, deren Daten darin ebenfalls vorhanden sind, herauszugeben.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Drittbetroffenheit, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/VG_Magdeburg_3_B_76_10.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Verwaltungsgericht Frankfurt am Main,7 K 1496/09,26.03.2010,Urteil,Informationsfreiheitsgesetz (Bund),"Streitig ist der Informationszugang zu Angaben über bei der Bundesanstalt für Finanzdienstleistungsaufsicht vorhandene meldepflichtige Beteiligungen an einem Unternehmen. Das Verwaltungsgericht stellt fest, dass ein Verweis auf nicht von vornherein auszuschließende abstrakt gegebene nachteilige Auswirkungen auf die Kontrollaufgaben zur Verweigerung des Informationszugangs nicht ausreichen. Das betroffene Unternehmen unterliegt trotz seines Sitzes außerhalb der Europäischen Union den Veröffentlichungspflichten aus dem Wertpapierhandelsgesetz. Es kommt nicht darauf an, ob es diese Regeln tatsächlich einhält. Alleine dadurch, dass diese Regeln vorsehen, sich die streitgegenständlichen Informationen aus allgemein zugänglichen Quellen zu verschaffen, ergibt sich, dass diese nicht Gegenstand der Verschwiegenheitspflicht der Beklagten sind. Das Urteil ergeht im Rahmen einer Fortsetzungsfeststellungsklage.",,http://www.lda.brandenburg.de/media_fast/5955/VG_Frankfurt_am_Main_7_K_1496_09_F.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Verwaltungsgericht Berlin,2 K 98.09,22.04.2010,Urteil,Informationsfreiheitsgesetz (Bund),"Gegenstand des Antrags auf Informationszugang waren Stellungnahmen, die das Bundesjustizministerium in zwei Petitionsverfahren gegenüber dem Bundestag abgegeben hat. Das Verwaltungsgericht stellt fest, dass das Ministerium als Behörde im Sinne des Informationsfreiheitsgesetzes gehandelt hat. Im Petitionsverfahren vor dem Bundestag handelt ein Ministerium nicht für die Bundesregierung als Verfassungsorgan, sondern erfüllt seine Pflichten als Behörde des Bundes - eine typische Aufgabe der öffentlichen Verwaltung.  Es unterfällt somit dem Anwendungsbereich des Informationsfreiheitsgesetzes. Vom Informationszugang ausgenommen sind nur die jeweilige Zusammenstellung aller eingeholten Informationen und die darauf beruhende umfassende Bewertung der Petition, nicht einzelne Aktenbestandteile in anderen Ausfertigungen.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Exekutiver Kernbereich (Regierungshandeln), Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_K_98_09.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Oberverwaltungsgericht Rheinland-Pfalz,10 A 10091/10,23.04.2010,Urteil,Informationsfreiheitsgesetz (Bund),"Das Oberverwaltungsgericht weist die Nichtzulassungsbeschwerde gegen die Entscheidung der Erstinstanz zurück, die einem Insolvenzverwalter auf der Grundlage des Informationsfreiheitsgesetzes Auskunft über Vollstreckungsaufträge und Zahlungen an Gläubiger (Sozialversicherungsträger) im Rahmen eines Insolvenzverfahrens zugestanden hat. Weder die Vorschriften der Insolvenzordnung noch die des Bürgerlichen Gesetzbuchs sind ""Regelungen in anderen Rechtsvorschriften"", die dem Informationsfreiheitsgesetz vorgehen. Nur solche Vorschriften verdrängen das Informationsfreiheitsgesetz, die denselben Regelungsgegenstand, nämlich Zugang zu amtlichen Informationen, haben. Der Ausnahmetatbestand zum Schutz laufender Gerichtsverfahren dient dem Schutz der Rechtspflege und kann nicht auf bevorstehende Gerichtsverfahren angewandt werden. Weder das Sozialgeheimnis noch fiskalische Interessen stehen dem Informationszugang entgegen.","Antragsberechtigung, Begriffsbestimmung, Fiskalische Interessen, Konkurrierende Rechtsvorschriften, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/OVG_RP_10_A_10091_10.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Verwaltungsgericht Potsdam,3 K 1595/05,27.04.2010,Urteil,Akteneinsichts- und Informationszugangsgesetz (Brandenburg),"Die Ausnahme des § 4 Abs. 1 Nr. 5 AIG für Aufsichtsakten gilt nur im laufenden Verfahren. Eine Ausnahme nach § 4 Abs. 1 Nr. 2 AIG (Mitteilungen öffentlicher Stellen, die nicht dem Anwendungsbereich unterliegen) kommt nur in Frage, wenn es um unmittelbare Mitteilungen dieser Stellen und nicht um bloße Anschreiben an sie handelt. Die fehlende Ermessensausübung (§ 4 Abs. 2 Nr. 1 AIG - interne Willensbildung) kann nicht durch nachgeschobene Gründe im verwaltungsgerichtlichen Verfahren geheilt werden. Das Vorliegen des Ausnahmetatbestands des § 4 Abs. 1 Nr. 5 1. Alternative AIG (Akten zur Durchführung eines Gerichtsverfahrens) wird hingegen teilweise bejaht; ebenso besteht kein Einsichtsrecht in Stellungnahmen von Behörden gegenüber dem Petitionsausschuss des Landtages. Eine Akteneinsicht kann nicht auf rechtsstaatliche Gründen bzw. aus den Grundsatz von Treu und Glauben gestützt werden, ohne die Ausschlussgründe des Akteneinsichts- und Informationszugangsgesetzes zu beachten. Das Urteil enthält auch Erläuterungen zum Verhältnis des Akteneinsichts- und Informationszugangsgesetzes zur Abgabenordnung. Im Ergebnis sind teilweise Aussonderungen vorzunehmen. Der Antrag auf Informationszugang betrifft Akten der Finanzverwaltung zwecks Verfolgung von Staatshaftungsansprüchen.","Aufsichtsaufgaben, Beratungsgeheimnis (behördlicher Entscheidungsprozess), Konkurrierende Rechtsvorschriften, Personenbezogene Daten, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/VG_Potsdam_3_K_1595_05.pdf,20,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=380
Oberverwaltungsgericht Nordrhein-Westfalen,13a F 32/09,03.05.2010,"Beschluss des Fachsenats (""in-camera""-Verfahren)",§ 99 Abs. 2 Verwaltungsgerichtsordnung,"Der Fachsenat des Oberverwaltungsgerichts stellt fest, dass die Sperrerklärung des Innenministeriums zur Verweigerung der Vorlage bestimmter Unterlagen zur US-Cross-Border-Lease-Transaktion einer Stadt rechtswidrig ist. Insbesondere besteht keine Schutzwürdigkeit von Betriebs- und Geschäftsgeheimnissen, da die Verträge bereits abgeschlossen sind, eine sehr lange Laufzeit haben und somit mögliche Konkurrenten nicht (mehr) vorhanden sind. Darüber hinaus besteht ein solcher Schutz  nicht, wenn die Allgemeinheit ein - vorliegend vom Oberverwaltungsgericht bejahtes - überwiegendes Interesse an der Gewährung des Informationszugangs hat und der eintretende Schaden nur gering wäre. Alleine aus einer Vertraulichkeitsvereinbarung ergibt sich kein Geheimhaltungsgrund. Die Entscheidung enthält auch Hinweise zum Verhältnis zwischen dem fachgesetzlichen Geheimnisschutz und der Ermessensentscheidung der obersten Aufsichtsbehörde im Rahmen der Abgabe der Sperrerklärung sowie zu den Anforderungen an eine Begründung derselben. Siehe auch Beschluss des Oberverwaltungsgerichts Nordrhein-Westfalen vom selben Tag, AZ 13a F 31/09.","Betriebs- und Geschäftsgeheimnisse, Interessenabwägung, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_13a_F_32_09.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Oberverwaltungsgericht Nordrhein-Westfalen,13a F 31/09,03.05.2010,"Beschluss des Fachsenats (""in-camera""-Verfahren)",§ 99 Abs. 2 Verwaltungsgerichtsordnung,"Der Fachsenat des Oberverwaltungsgerichts stellt fest, dass die Sperrerklärung des Innenministeriums zur Verweigerung der Vorlage bestimmter Unterlagen zur US-Cross-Border-Lease-Transaktion einer Stadt rechtswidrig ist. Insbesondere besteht keine Schutzwürdigkeit von Betriebs- und Geschäftsgeheimnissen, da die Verträge bereits abgeschlossen sind, eine sehr lange Laufzeit haben und somit mögliche Konkurrenten nicht (mehr) vorhanden sind. Darüber hinaus besteht ein solcher Schutz  nicht, wenn die Allgemeinheit ein - vorliegend vom Oberverwaltungsgericht bejahtes - überwiegendes Interesse an der Gewährung des Informationszugangs hat und der eintretende Schaden nur gering wäre. Alleine aus einer Vertraulichkeitsvereinbarung ergibt sich kein Geheimhaltungsgrund. Die Entscheidung enthält auch Hinweise zum Verhältnis zwischen dem fachgesetzlichen Geheimnisschutz und der Ermessensentscheidung der obersten Aufsichtsbehörde im Rahmen der Abgabe der Sperrerklärung sowie zu den Anforderungen an eine Begründung derselben. Siehe auch Beschluss des Oberverwaltungsgerichts Nordrhein-Westfalen vom selben Tag, AZ 13a F 32/09.","Betriebs- und Geschäftsgeheimnisse, Interessenabwägung, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_13a_F_31_09.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Greifswald,4 A 2059/07,04.05.2010,Urteil,Informationsfreiheitsgesetz (Mecklenburg-Vorpommern),"Der Kläger begehrte bei der Generalstaatsanwaltschaft Einsicht in alle über die Ermittlungsakten hinausgehenden internen Aktenvorgänge (Berichtshefte) der Staatsanwaltschaft unter Berufung auf das IFG M-V. Die Generalstaatsanwaltschaft handelt bei der Anlage eines Berichtshefts nicht als Verwaltungsbehörde, sondern in ihrer Eigenschaft als Organ der Rechtspflege, so dass das IFG M-V gemäß § 3 Abs. 4 IFG M-V keine Anwendung findet.  Die Berichtstätigkeit der Staatsanwaltschaft gegenüber dem aufsichtführenden Justizministerium (Berichtsvorgänge) ist schwerpunktmäßig der Strafverfolgung zuzuordnen. Dass die Berichtshefte  auch nicht nach der StPO vorzulegen sind, führt nicht dazu, dass sie zwingend nach dem IFG zugänglich sein müssen. Auch § 1 Abs. 3 IFG M-V steht der Akteneinsicht entgegen, da die StPO dem IFG M-V hier als Spezialvorschrift vorgeht.","Anwendungsbereich/Zuständigkeit, Konkurrierende Rechtsvorschriften, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/VG_Greifswald_4_A_2059_07.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Düsseldorf,26 K 3548/09,07.05.2010,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Das Verwaltungsgericht hatte den Rechtsstreit um das Begehren eines Insolvenzverwalters auf Übersendung der Jahreskontoauszüge zunächst an das Finanzgericht verwiesen, obwohl der Kläger sich ausschließlich auf das Informationsfreiheitsgesetz stützt. Im vorliegenden Urteil hält es an seiner Auffassung fest: Der Verwaltungsrechtsweg ist nach Auffassung des Gerichts nicht gegeben. Für die Frage des maßgeblichen Rechtswegs kommt es allein auf die Zugehörigkeit des geltend gemachten materiellen Anspruchs bzw. Lebenssachverhalts zu einer einem bestimmten Rechtsweg zugeordneten Materie an. Dennoch entscheidet das Verwaltungsgericht in der Sache selbst: Die Übersendung von Jahreskontoauszügen betrifft unmittelbar eine mit der Verwaltung von Abgaben zusammenhängende Angelegenheit. Es besteht kein Informationsanspruch, da die hier einschlägige Abgabenordnung Ansprüche auf Grundlage des Informationsfreiheitsgesetzes verdrängt.","Konkurrierende Rechtsvorschriften, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Duesseldorf_26_K_3548_09.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Frankfurt am Main,7 K 1645/09.F,18.05.2010,"Beweisbeschluss des Hauptsachegerichts (""in-camera""-Verfahren)",Informationsfreiheitsgesetz (Bund),"Die entscheidungserhebliche Frage, ob einer Herausgabe von Akten und Gutachten der Bankenaufsicht aus dem Jahre 2008 zur Überprüfung einer bestimmten Bank die im Rahmen der Prüfung auf der Grundlage des Informationsfreiheitsgesetzes zu berücksichtigende  bereichsspezifische Verschwiegenheitspflicht aus dem Kreditwesengesetz entgegensteht, kann das Gericht nur in Kenntnis der entsprechenden Unterlagen entscheiden. Es fordert die Aufsichtsbehörde daher zur Vorlage dieser Unterlagen auf. Der Beschluss enthält ausführliche Darlegungen, weshalb andere Ausnahmetatbestände des Informationsfreiheitsgesetzes nicht zum Tragen kommen, so z.B. der Schutz der Kontroll- und Aufsichtsaufgaben, der internationalen Beziehungen, der Beratung von Behörden sowie der vertraulich erhobenen Informationen und befasst sich mit der Frage der Verhältnismäßigkeit des Verwaltungsaufwands.","(Gesetzliche) Geheimhaltungspflichten, Aufsichtsaufgaben, Aussonderungen, Internationale Beziehungen",http://www.lda.brandenburg.de/media_fast/5955/VG_Frankfurt_am_Main_7_K_1645_09_F.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Bundesverwaltungsgericht,7 B 28.10,20.05.2010,Beschluss,Informationsfreiheitsgesetz (Rheinland-Pfalz),"Das Bundesverwaltungsgericht weist die Nichtzulassungsbeschwerde gegen eine Entscheidung des Oberverwaltungsgerichts Rheinland-Pfalz zurück. Dieses hatte die Entscheidung der Erstinstanz bestätigt, die eine Krankenkasse verpflichtet hatte, dem Insolvenzverwalter eines Betriebes Einsicht in die zu diesem Insolvenzschuldner geführten Akten zu gewähren. Weder die Insolvenzordnung noch zivilrechtliche Vorschriften verdrängen die Regelungen des Informationsfreiheitsgesetzes.",Konkurrierende Rechtsvorschriften,http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_B_28_10.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Bundesverwaltungsgericht,20 F 1.10,25.06.2010,"Beschluss des Fachsenats (""in-camera""-Verfahren)",§ 99 Abs. 2 Verwaltungsgerichtsordnung,"Der Beschluss enthält vor allem Ausführungen zur Erforderlichkeit eines Zwischenverfahrens: Das Hauptsachegericht muss zunächst deutlich begründen, dass es die zurückgehaltenen Akten als erheblich ansieht. Streitigkeiten um Informationszugangsrechte führen nicht automatisch zur Verlagerung in das ""in-camera""-Verfahren. Vielmehr ist zwischen materiellrechtlichen Geheimhaltungsgründen, also den Gründen, die sich unmittelbar aus der Akte ergeben, und prozeduralen Geheimhaltungsgründen zu unterscheiden. Das Hauptsachegericht muss daher zunächst die ihm zur Verfügung stehenden Mittel ausschöpfen, um den Sachverhalt aufzuklären und die Akten verweigernde Stelle gegebenenfalls auffordern, weitere Angaben mit abstrakter Umschreibung zur Kategorisierung der einzelnen Schriftstücke zu machen. Das Informationszugangsbegehren richtete sich auf Informationen, die das Bundesverwaltungsamt über eine Glaubensgemeinschaft sammelte.",Ablehnungsbegründung,http://www.lda.brandenburg.de/media_fast/5955/BVerwG_20_F_1_10_100625.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Europäischer Gerichtshof,C-139/07 P,29.06.2010,Urteil,Verordnung (EG) Nr. 1049/2001 (Transparenzverordnung),"Die Beteiligten eines Beihilfeverfahrens mit Ausnahme des für die Gewährung der Beihilfe verantwortlichen Mitgliedstaates verfügen nicht über das Recht, die Dokumente der Verwaltungsakte der Kommission einzusehen. Bei der Auslegung der Ausnahmeregelung der Verordnung 1049/2001 sind die Rechtsgedanken der Beihilfeverordnung 659/1999 zu berücksichtigen, nach denen lediglich dem verantwortlichen Mitgliedstaat in Verfahren zur Kontrolle staatlicher Beihilfen Zugang zu den Dokumenten zu gewähren ist. Zur Begründung steht es den Gemeinschaftsorganen frei, sich lediglich auf allgemeine Erwägungen zu stützen, die für bestimmte Kategorien von Dokumenten gelten, die sich verfahrensgegenständlich aus der Verordnung 659/1999 und der Rechtsprechung zum Recht auf Einsicht in die Dokumente der Verwaltungsakte der Kommission ergeben. Einer konkreten und individuellen Prüfung der einzelnen Dokumente bedurfte es daher nicht.","Ablehnungsbegründung, Konkurrierende Rechtsvorschriften",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_139_07_P.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Europäischer Gerichtshof,C-28/08 P,29.06.2010,Urteil,Verordnung (EG) Nr. 1049/2001 (Transparenzverordnung),"Unter gänzlicher Aufhebung des Urteils des Europäischen Gerichts (T-194/04) entschied der EuGH, dass auch bei Anträgen nach der Verordnung 1049/2001, die auf den Zugang der Öffentlichkeit zu Dokumenten gerichtet sind, die datenschutzrechtlichen Bestimmungen der Verordnung 45/2001 zu beachten sind, sofern die in Rede stehenden Dokumente personenbezogene Daten enthalten. Die Verordnung 45/2001 stellt zwingendes Recht dar, das trotz des Ziels der Verordnung 1049/2001, eine größtmögliche Transparenz zu gewährleisten, einzuhalten ist. Demnach handelte die Kommission rechtmäßig, als sie nach Konsultation der einzelnen Teilnehmer einer Sitzung, die Namen derjenigen Teilnehmer nicht preisgab, die sich gegen eine eine Übermittlung ausgesprochen hatten.","Aussonderungen, Konkurrierende Rechtsvorschriften, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_28_08_P.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Gericht der Europäischen Union,T-467/09,02.07.2010,Beschluss,Verordnung (EG) Nr. 1049/2001 (Transparenzverordnung),"Der Kläger begehrte Zugang zu der Konformitätsstudie betreffend die Umsetzung der Richtlinie 2003/35 in deutsches Recht. bei der Kommission. Nach dem Zweitantrag des Klägers gewährte die Kommission teilweisen Zugang zur Konformitätsstudie und stellte deren Inhaltsverzeichnis zur Verfügung. Die weitere Offenlegung lehnte die Kommission und Verweis auf den Schutz des Zwecks von Inspektions-, Untersuchungs- und Audittätigkeiten sowie den Schutz von Entscheidungsprozessen ab. Das danach vom Kläger geführte Klageverfahren erklärte das Gericht für erledigt, nachdem die Kommission den beantragten Zugang gewährt hatte.","Gefährdung des Erfolgs behördlicher Maßnahmen, Internationale Beziehungen, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/EuG_T_467_09.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Düsseldorf,26 L 683/10,08.07.2010,Beschluss,Verbraucherinformationsgesetz,"Ein betroffener Dritter kann sich nicht auf die Ausnahmetatbestände des Verbraucherinformationsgesetzes zum Schutz öffentlicher Belange berufen, da diese Vorschrift allein dem öffentlichen Interesse dient. Ein berechtigtes Geheimhaltungsinteresse zum Schutz privater Belange besteht nicht hinsichtlich solcher Produkte, bei denen Normvorgaben nicht beachtet worden sind. Mit dieser Begründung lehnt das Gericht einen Antrag, die aufschiebende Wirkung des Widerspruchs eines Drittbetroffenen wiederherzustellen, ab.","Begriffsbestimmung, Betriebs- und Geschäftsgeheimnisse, Drittbetroffenheit, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Duesseldorf_26_L_683_10.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht München,M 18 K 08.5934,28.07.2010,Urteil,Verbraucherinformationsgesetz,"Eine Gebühr für Verbraucherinformationen muss nachvollziehbar und verhältnismäßig sein. Sie darf keine abschreckende Wirkung haben. Außerdem dürfen Kosten nur für gerechtfertigte Amtshandlungen erhoben werden; keine Kosten dürfen erhoben werden, soweit sie bei richtiger Sachbehandlung durch die Behörde nicht entstanden wären. Das Gericht erklärte damit die Gebühr in Höhe von 1.000 Euro für rechtswidrig. Die Behörde hatte im Zusammenhang mit dem Auskunftsbegehren über den Urangehalt von Mineralwässern 118 Unternehmen angehört, obwohl dies nicht erforderlich war. Der Urangehalt von Mineralwässern kann von jedermann durch Messung festgestellt werden, so dass es sich nicht um ein Betriebs- oder Geschäftsgeheimnis handelt.","Betriebs- und Geschäftsgeheimnisse, Kosten",http://www.lda.brandenburg.de/media_fast/5955/VG_Muenchen_18_K_08_5934.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Düsseldorf,26 L 1223/10,04.08.2010,Beschluss,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Das Verwaltungsgericht lehnt einen Eilantrag zur Herausgabe von Unterlagen im Zusammenhang mit der Durchführung der ""Loveparade"" ab. Die Entscheidung lässt offen, ob der presserechtliche Auskunftsanspruch einen Anspruch auf Herausgabe von Unterlagen umfasst. Das Gericht schließt nicht aus, dass der Auskunftsanspruch des Pressegesetzes Nordrhein-Westfalen eine das Informationsfreiheitsgesetz Nordrhein-Westfalen verdrängende Spezialvorschrift darstellt. Durch die Gewährung von Akteneinsicht in Unterlagen, die von der Staatsanwaltschaft beschlagnahmt wurden, könnten zudem die speziellen strafprozessualen Regelungen umgangen werden.","Auskunftserteilung, Konkurrierende Rechtsvorschriften, Schutz besonderer Verfahren, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/VG_Duesseldorf_26_L_1223_10.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
Verwaltungsgericht Berlin,27 L 234.10,09.08.2010,Beschluss,"Informationsfreiheitsgesetz (Berlin), Sonstige","Der Eilantrag richtete sich auf eine Auskunft auf der Grundlage des Landespressegesetzes Berlin über ein von der Staatsanwaltschaft geführtes Todesermittlungsverfahren und wird vom Verwaltungsgericht abgelehnt. Eine Vorwegnahme der Entscheidung in der Hauptsache durch eine einstweilige Anordnung widerspricht grundsätzlich der Funktion des vorläufigen Rechtsschutzes und kommt nur ausnahmsweise in Betracht, wenn das Abwarten der Hauptsacheentscheidung unzumutbar wäre. Ein Informationsanspruch auf der Grundlage des Berliner Informationsfreiheitsgesetzes scheidet aus, weil das von der Staatsanwaltschaft geführte Todesermittlungsverfahren keine Verwaltungsaufgabe ist (§ 2 Abs. 1 Satz 2 IFG Berlin).","Begriffsbestimmung, Interessenabwägung, Konkurrierende Rechtsvorschriften, Personenbezogene Daten, Prozessuales, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_27_L_234_10.pdf,19,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=360
